CL:0000097	CL:0000766 ! myeloid leukocyte
CL:0000097	CL:0002274 ! histamine secreting cell
CL:0000098	CL:0000066 ! epithelial cell
CL:0000098	CL:0000197 ! receptor cell
CL:0000098	CL:0002371 ! somatic cell
CL:0000099	CL:0000540 ! neuron
CL:0000100	CL:0000527 ! efferent neuron
CL:0000101	CL:0000526 ! afferent neuron
CL:0000102	CL:0000540 ! neuron
CL:0000103	CL:0000099 ! interneuron
CL:0000104	CL:0000540 ! neuron
CL:0000105	CL:0000540 ! neuron
CL:0000106	CL:0000540 ! neuron
CL:0000107	CL:2000032 ! peripheral nervous system neuron
CL:0000108	CL:0000151 ! secretory cell
CL:0000108	CL:0000540 ! neuron
CL:0000109	CL:0000540 ! neuron
CL:0000110	CL:0000540 ! neuron
CL:0000111	CL:0000540 ! neuron
CL:0000112	CL:0000540 ! neuron
CL:0000113	CL:0000226 ! single nucleate cell
CL:0000113	CL:0000518 ! phagocyte (sensu Vertebrata)
CL:0000114	CL:0000221 ! ectodermal cell
CL:0000115	CL:0000213 ! lining cell
CL:0000115	CL:0002078 ! meso-epithelial cell
CL:0000116	CL:0000540 ! neuron
CL:0000117	CL:2000029 ! central nervous system neuron
CL:0000118	CL:0000117 ! CNS neuron (sensu Vertebrata)
CL:0000119	CL:0000402 ! CNS interneuron
CL:0000119	CL:0011005 ! GABAergic interneuron
CL:0000119	CL:1001611 ! cerebellar neuron
CL:0000120	CL:0000117 ! CNS neuron (sensu Vertebrata)
CL:0000121	CL:0000117 ! CNS neuron (sensu Vertebrata)
CL:0000121	CL:0000527 ! efferent neuron
CL:0000121	CL:1001611 ! cerebellar neuron
CL:0000122	CL:0000117 ! CNS neuron (sensu Vertebrata)
CL:0000123	CL:0000095 ! neuron associated cell
CL:0000124	CL:0000125 ! glial cell
CL:0000125	CL:0000095 ! neuron associated cell
CL:0000126	CL:0000243 ! glial cell (sensu Vertebrata)
CL:0000127	CL:0000126 ! macroglial cell
CL:0000128	CL:0000126 ! macroglial cell
CL:0000129	CL:0000243 ! glial cell (sensu Vertebrata)
CL:0000129	CL:0000878 ! central nervous system macrophage
CL:0000130	CL:0000095 ! neuron associated cell
CL:0000131	CL:0000115 ! endothelial cell
CL:0000132	CL:0000076 ! squamous epithelial cell
CL:0000132	CL:0000710 ! neurecto-epithelial cell
CL:0000133	CL:0000221 ! ectodermal cell
CL:0000134	CL:0000048 ! multi fate stem cell
CL:0000134	CL:0000219 ! motile cell
CL:0000134	CL:0002320 ! connective tissue cell
CL:0000135	CL:0000499 ! stromal cell
CL:0000136	CL:0000325 ! stuff accumulating cell
CL:0000136	CL:0002320 ! connective tissue cell
CL:0000137	CL:0001035 ! bone cell
CL:0000138	CL:0000153 ! glycosaminoglycan secreting cell
CL:0000138	CL:0000667 ! collagen secreting cell
CL:0000140	CL:0002320 ! connective tissue cell
CL:0000141	CL:0000137 ! osteocyte
CL:0000142	CL:0000499 ! stromal cell
CL:0000143	CL:0000130 ! neuron associated cell (sensu Nematoda and Protostomia)
CL:0000145	CL:0000473 ! defensive cell
CL:0000146	CL:0000075 ! columnar/cuboidal epithelial cell
CL:0000147	CL:0000325 ! stuff accumulating cell
CL:0000148	CL:0000147 ! pigment cell
CL:0000148	CL:0002371 ! somatic cell
CL:0000149	CL:0000147 ! pigment cell
CL:0000150	CL:0000066 ! epithelial cell
CL:0000150	CL:0000151 ! secretory cell
CL:0000150	CL:0002371 ! somatic cell
CL:0000151	CL:0000003 ! native cell
CL:0000152	CL:0000151 ! secretory cell
CL:0000153	CL:0000327 ! extracellular matrix secreting cell
CL:0000153	CL:0000447 ! carbohydrate secreting cell
CL:0000154	CL:0000151 ! secretory cell
CL:0000155	CL:0000154 ! protein secreting cell
CL:0000155	CL:0002659 ! glandular cell of stomach
CL:0000157	CL:0000151 ! secretory cell
CL:0000158	CL:0000157 ! surfactant secreting cell
CL:0000158	CL:0002328 ! bronchial epithelial cell
CL:0000159	CL:0000151 ! secretory cell
CL:0000160	CL:0000150 ! glandular epithelial cell
CL:0000160	CL:0000319 ! mucus secreting cell
CL:0000161	CL:0000151 ! secretory cell
CL:0000162	CL:0000161 ! acid secreting cell
CL:0000162	CL:0002659 ! glandular cell of stomach
CL:0000163	CL:0000151 ! secretory cell
CL:0000164	CL:0000150 ! glandular epithelial cell
CL:0000164	CL:0000163 ! endocrine cell
CL:0000165	CL:0000163 ! endocrine cell
CL:0000165	CL:0000393 ! electrically responsive cell
CL:0000165	CL:0000710 ! neurecto-epithelial cell
